OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edite,ACSDT5Y2021.B19058-Data_NAME,ACSDT5Y2021.B19058-Data_B19058_001E,ACSDT5Y2021.B19058-Data_B19058_002E,ACSDT5Y2021.B19058-Data_B19058_002M,ACSDT5Y2021.B19058-Data_B19058_003E,ACSDT5Y2021.B19058-Data_B19058_003M
"59","13","015","13015",Bartow,Bartow County,"100157",N,N,Y,N,Y,N,Y,Northwest Georgia,300840.000000000000000,470.062988280000013,BARTOW,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015/10/14,"Bartow County, Georgia","38029","3815","518","34214","738"
"60","13","317","13317",Wilkes,Wilkes County,"10593",N,N,N,N,N,N,N,Central Savannah River Area,303488.999999999941792,474.201995850000003,WILKES,{3C1AC31B-C7CA-4E09-ABBF-17E4A09438E7},,"Wilkes County, Georgia","3988","629","178","3359","241"
"61","13","171","13171",Lamar,Lamar County,"18317",N,N,N,N,Y,N,N,Three Rivers,118910.000000000000000,185.796997070000003,LAMAR,{C0B4C373-058F-4823-A88A-FA256FA27E49},,"Lamar County, Georgia","6811","883","278","5928","344"
"62","13","143","13143",Haralson,Haralson County,"28780",N,N,N,N,Y,N,N,Northwest Georgia,181237.000000000000000,283.183013920000008,HARALSON,{62868793-F549-4DA3-9B5D-1566905D1A3E},,"Haralson County, Georgia","11240","1672","367","9568","376"
"63","13","069","13069",Coffee,Coffee County,"42356",N,N,N,N,N,N,N,Southern Georgia,385768.000000000000000,602.762023930000055,COFFEE,{FFD327B3-3942-4407-AB3E-2F27A45835CD},,"Coffee County, Georgia","14934","2520","446","12414","576"
"64","13","125","13125",Glascock,Glascock County,"3082",N,N,N,N,N,N,N,Central Savannah River Area,92479.203125000000000,144.498992920000006,GLASCOCK,{8199F11E-0ED9-4369-AA85-C0FD36931EA9},,"Glascock County, Georgia","1045","151","67","894","109"
"65","13","245","13245",Richmond,Richmond County,"200549",N,N,N,N,N,N,N,Central Savannah River Area,210453.000000000000000,328.832000730000004,RICHMOND,{EB8758B7-47F1-4A60-8504-488DC673CB9F},,"Richmond County, Georgia","73631","14356","1021","59275","1317"
"66","13","289","13289",Twiggs,Twiggs County,"9023",N,N,N,N,N,N,N,Middle Georgia,232066.000000000000000,362.604003910000017,TWIGGS,{645541C3-33AF-4D0D-B8DB-BE00D4DE1C31},,"Twiggs County, Georgia","2885","662","152","2223","242"
"67","13","311","13311",White,White County,"27144",N,N,N,N,N,N,N,Georgia Mountains,154987.000000000000000,242.167007450000000,WHITE,{8FCD416E-9AA1-45F3-8C5C-A8E9C7BADC6B},,"White County, Georgia","10251","1053","293","9198","418"
"68","13","201","13201",Miller,Miller County,"6125",N,N,N,N,N,N,N,Southwest Georgia,181521.000000000000000,283.626007080000022,MILLER,{8B65AAE7-89E9-4C09-9041-FF0F8C610A6D},,"Miller County, Georgia","2531","493","115","2038","151"
